country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent,GDP/2019 (Billions of US dollars)
Ukraine,206,237,45,8.9,Europe,0.042
United Arab Emirates,16,135,5,2.8,Asia,30.666
United Kingdom,219,126,195,10.4,Europe,150.401
Tanzania,36,6,1,5.7,Africa,405.771
USA,249,158,84,8.7,North America,"2,743.59"
Uruguay,115,35,220,6.6,South America,"21,439.45"
Uzbekistan,25,101,8,2.4,Asia,59.918
Vanuatu,21,18,11,0.9,Oceania,60.49
Venezuela,333,100,3,7.7,South America,0.951
Vietnam,111,2,1,2,Asia,70.14
Yemen,6,0,0,0.1,Asia,261.637
Zambia,32,19,4,2.5,Africa,29.855
Zimbabwe,64,18,4,4.7,Africa,23.946
,,,,,,12.818
